abundant	overabundant/over-abundant						
active	overactive/over-active						
aggressive	overaggressive/over-aggressive						
ambitious	overambitious/over-ambitious						
anxious	overanxious/over-anxious						
appreciated	overappreciated/over-appreciated						
assertive	overassertive/over-assertive						
attached	overattached/over-attached						
bearing	overbearing/over-bearing						
booked	overbooked/over-booked						
burdened	overburdened/over-burdened						
charged	overcharged/over-charged						
clothed	overclothed/over-clothed						
compensated	overcompensated/over-compensated						
confident	overconfident/over-confident						
conscious	overconscious/over-conscious						
cooked	overcooked/over-cooked						
crowded	overcrowded/over-crowded						
decorated	overdecorated/over-decorated						
developed	overdeveloped/over-developed						
done	overdone/over-done						
dosed	overdosed/over-dosed						
dressed	overdressed/over-dressed						
educated	overeducated/over-educated						
emotional	overemotional/over-emotional						
emphasized	overemphasized/over-emphasized						
enthusiastic	overenthusiastic/over-enthusiastic						
estimated	overestimated/over-estimated						
excited	overexcited/over-excited						
exposed	overexposed/over-exposed						
extended	overextended/over-extended						
filled	overfilled/over-filled						
focused	overfocused/over-focused						
funded	overfunded/over-funded						
grown	overgrown/over-grown						
handled	overhandled/over-handled						
heard	overheard/over-heard						
heated	overheated/over-heated						
indulged	overindulged/over-indulged						
informed	overinformed/over-informed						
inflated	overinflated/over-inflated						
interpreted	overinterpreted/over-interpreted						
invested	overinvested/over-invested						
irritated	overirritated/over-irritated
laid	overlaid/over-laid						
loaded	overloaded/over-loaded						
looked	overlooked/over-looked						
optimistic	overoptimistic/over-optimistic						
paid	overpaid/over-paid						
painted	overpainted/over-painted						
played	overplayed/over-played						
polished	overpolished/over-polished						
populated	overpopulated/over-populated						
powered	overpowered/over-powered						
praised	overpraised/over-praised						
prepared	overprepared/over-prepared						
processed	overprocessed/over-processed						
produced	overproduced/over-produced						
protected	overprotected/over-protected						
protective	overprotective/over-protective						
qualified	overqualified/over-qualified						
rated	overrated/over-rated						
reacted	overreacted/over-reacted						
refined	overrefined/over-refined						
represented	overrepresented/over-represented						
ride 	override/over-ride						
run	overrun/over-run						
saturated	oversaturated/over-saturated						
scheduled	overscheduled/over-scheduled						
shadowed	overshadowed/over-shadowed						
shared	overshared/over-shared						
shocked	overshocked/over-shocked						
simplified	oversimplified/over-simplified						
sized	oversized/over-sized						
slept	overslept/over-slept						
sold	oversold/over-sold						
solicited	oversolicited/over-solicited						
spent	overspent/over-spent						
stated	overstated/over-stated						
stimulated	overstimulated/over-stimulated						
stocked	overstocked/over-stocked						
strained	overstrained/over-strained						
stressed	overstressed/over-stressed						
stretched	overstretched/over-stretched						
studied	overstudied/over-studied						
subscribed	oversubscribed/over-subscribed						
supplied	oversupplied/over-supplied						
talked	overtalked/over-talked						
taken	overtaken/over-taken						
tired	overtired/over-tired						
thrown	overthrown/over-thrown						
trained	overtrained/over-trained						
turned	overturned/over-turned						
used	overused/over-used						
valued	overvalued/over-valued						
watched	overwatched/over-watched						
weighed	overweighed/over-weighed						
whelmed	overwhelmed/over-whelmed						
worked	overworked/over-worked						
written	overwritten/over-written						
zealous	overzealous/over-zealous						
