alligator	reptile/diapsid/sauropsid/amniote/vertebrate/chordate/animal			
allosaurus	dinosaur/reptile/bird/archosaur/archosaurian/archosaurian_reptile/			
anaconda	snake/reptile/boa/serpent/ophidian			
ant	insect/invertebrate/creature/beast/hymenopteran/being/animal/organism/fauna/arthropod/hymenopterous_insect/animate_being/physical_hymenopteron/physical_entity/hymenopter/living_thing			
antelope	mammal/ungulate/ruminant/artiodactyl/eutherian/vertebrate/chordate/animal			
armadillo	mammal/xenarthran/placental/eutherian/vertebrate/chordate/animal			
bat	mammal/chiropteran/placental/eutherian/vertebrate/chordate/animal			
bear	mammal/carnivore/ursid/placental/eutherian/vertebrate/chordate/animal			
beaver	rodent/vertebrate/creature/beast/animal/organism/fauna/placental/chordate/eutherian/mammal/mammalian/eutherian_mammal/gnawer/animate_being/living_thing/placental_mammal/craniate/			
bee	insect/invertebrate/creature/beast/hymenopteran/being/animal/insect/organism/fauna/arthropod/hymenopterous_insect/animate_being/hymenopteron/hymenopter/living_thing			
beetle	insect/invertebrate/creature/beast/being/animal/insect/organism/fauna/arthropod/animate_being/living_thing			
beluga	mammal/cetacean/placental/eutherian/vertebrate/chordate/animal			
bison	mammal/ungulate/artiodactyl/eutherian/vertebrate/chordate/animal			
boa	reptile/squamate/snake/serpent/amniote/vertebrate/chordate/animal			
boar	mammal/ungulate/artiodactyl/eutherian/vertebrate/chordate/animal			
buffalo	bovid/mammal/bison/cow/vertebrate/creature/ungulate/beast/being/animal/organism/fauna/placental/artiodactyl/ruminant/chordate/eutherian/mammalian/bovine/animate_being/eutherian_mammal/placental_mammal/craniate/physical_hoofed_mammal/physical_entity/even-toed_ungulate/artiodactyl_mammal/living_thing			
butterfly	insect/creature/beast/lepidopteran/animal/organism/fauna/arthropod/lepidopterous_insect/lepidopteron/animate_being/living_thing			
camel	mammal/ungulate/artiodactyl/eutherian/vertebrate/chordate/animal 			
carp	fish/actinopterygian/bonyfish/vertebrate/chordate/animal			
cat	feline/beast/animal/organism/fauna/placental/carnivore/chordate/felid/eutherian/mammal/mammalian/eutherian_mammal/animate_being/placental_mammal/craniate/			
cheetah	mammal/carnivore/felid/placental/eutherian/vertebrate/chordate/animal			
chicken	fowl/bird/vertebrate/poultry/creature/beast/being/animal/organism/fauna/poultry/chordate/domestic_fowl/animate_being/gallinaceous_bird/craniate/gallinacean/living_thing			
chimpanzee	primate/vertebrate/creature/beast/being/animal/organism/fauna/placental/hominid/chordate/eutherian/mammal/ape/mammalian/animate_being/eutherian_mammal/placental_mammal/craniate/physical_physical_entity/living_thing			
chinchilla	rodent/vertebrate/creature/beast/animal/organism/fauna/placental/chordate/eutherian/mammal/mammalian/eutherian_mammal/gnawer/animate_being/living_thing/placental_mammal/craniate/			
chipmunk	mammal/rodent/placental/eutherian/vertebrate/chordate/animal			
cobra	snake/reptile/elapid/elapid_snake/serpent/ophidian			
cockroach	insect/invertebrate/creature/beast/dictyopterous_insect/being/animal/organism/fauna/arthropod/animate_being/physical_entity/living_thing			
cow	bovid/mammal/cattle/vertebrate/creature/ungulate/beast/being/animal/organism/fauna/placental/artiodactyl/ruminant/chordate/eutherian/mammalian/animate_being/eutherian_mammal/placental_mammal/craniate/physical_hoofed_mammal/physical_entity/even-toed_ungulate/artiodactyl_mammal/living_thing			
coyote	canine/vertebrate/creature/beast/canid/being/animal/organism/fauna/placental/carnivore/chordate/eutherian/mammal/mammalian/animate_being/eutherian_mammal/locomote/placental_mammal/craniate/domesticated_animal/physical_entity/domestic_animal/living_thing			
crane	bird/neornithine/gruidae/gruiformes/archosaur/reptile/sauropsid/amniote/vertebrate/chordate/animal			
crocodile	reptile/archosaur/diapsid/sauropsid/amniote/vertebrate/chordate/animal			
