airplane	aircraft/plane/jet/airliner/fighter_jet/helicopter/propeller_plane/small_aircraft/commercial_aircraft/private_jet/bomber/glider/balloon/cargo_plane/spacecraft/drone/supersonic/ultralight/gyroplane/aeroplane/airship/sailplane/transport_plane
alarm	alert/notification/warning/signal/indication/siren/bell/buzzer/claxon/alert_system/fire_alarm/security_alarm/clock_alarm/alert_signal/sonic_alarm/whistle
apple	fruit/produce/food/tree/fruit_tree/deciduous_tree/pome_tree/plant/edible_plant/temperate_fruit/apple_tree
appliance	device/utility/equipment/gadget/tool/instrument/machine/home_appliance/kitchen_appliance/household_appliance/domestic_appliance
apron	clothing/garment/wearable/item/apparel/artifact/artefact/object/physical_object/physical_entity/entity
aquarium	enclosure/container/tank/habitat/aquatic_environment/fish_tank/aquatic_habitat/water_tank/fish_bowl/aquatic_enclosure/marine_aquarium/aquatic_life/aquatic_plants
armchair	chair/seat/piece_of_furniture/article_of_furniture/furnishing/artifact/artefact/unit/object/physical_object/physical_entity/entity
artist	creator/creator_of_art/individual/worker/craftsman/artisan/performer/illustrator/painter/sculptor/designer/musician/writer/photographer/poet/actor/dancer
asphalt	material/substance/compound/mixture/paving_material/construction_material/surfacing_material/bitumen/tar/mineral/petroleum_product
backpack	bag/container/carrier/luggage/accessory/artifact/artefact/object/physical_object/physical_entity/entity
baguette	bread/baked_good/food/edible/substance/consumable/artifact/artefact/object/physical_object/physical_entity/entity
barstool	chair/seat/furniture/fixture/artifact/artefact/unit/object/physical_object/physical_entity/entity
beanie	hat/headwear/clothing/apparel/garment/wearable/item/artifact/artefact/object/physical_object/physical_entity/entity
belt	clothing/accessory/strap/wearable/apparel/artifact/artefact/object/physical_object/physical_entity/entity
bicycle	vehicle/transportation_device/means_of_transport/road_vehicle/land_vehicle/cycle/transport/two_wheeler/green_transport/electric_bike/mountain_bike/hybrid_bike/road_bike
blender	appliance/mixer/kitchen_utensil/utensil/implement/artifact/artefact/unit/object/physical_object/physical_entity/entity
blender	appliance/kitchen_appliance/device/machine/tool/artifact/artefact/object/physical_object/physical_entity/entity
blouse	clothing/garment/top/apparel/wearable/item/artifact/artefact/object/physical_object/physical_entity/entity
bookend	stationery/object/support/tool/artifact/artefact/object/physical_object/physical_entity/entity
bookmark	stationery/marker/reading_accessory/tool/artifact/artefact/object/physical_object/physical_entity/entity
bottle	container/receptacle/vessel/holder/packaging/fluids_container/drinking_vessel/storage_container/glass_bottle/plastic_bottle
bowl	kitchenware/dish/container/tableware/artifact/artefact/object/physical_object/physical_entity/entity
bowl	container/receptacle/vessel/holder/dish/serving_dish/food_container/utensil/ceramic_item/glassware/serveware/soup_bowl
bracelet	jewelry/band/strip/slip/artifact/artefact/unit/object/physical_object/physical_entity/entity/jewellery/adornment/decoration/ornament/ornamentation/artifact/artefact/unit/object/physical_object/physical_entity/entity
brooch	jewelry/jewellery/adornment/decoration/ornament/ornamentation/artifact/artefact/unit/object/physical_object/
cake	dessert/baked_goods/food/solid_food/course/nutriment/nourishment/nutrition/sustenance/aliment/alimentation/victuals/food/nutrient/substance/matter/physical_entity/entity
calendar	system/time_system/scheduling_tool/timekeeping_device/schedule/planner/organizer/diary/datebook/digital_calendar/paper_calendar/wall_calendar/desk_calendar/planner_book/pocket_calendar
candle	light_source/decor/home_item/artifact/artefact/object/physical_object/physical_entity/entity
candle	source_of_light/lighting_device/illumination_item/wax_item/flame_source/decorative_item/gift_item/tea_light/pillar_candle/scented_candle
cardigan	clothing/garment/apparel/top/wearable/item/artifact/artefact/object/physical_object/physical_entity/entity
ceiling	surface/roof/overhead/structure/upper_surface/interior_surface/room_feature/architectural_element/overhead_surface
